Genotype,Sex,Construct,AnimalID,Beam,Block,Time,User,Batch
CE,male,C57/BL6J,2710,12,1,6.22,Laura,1
CE,male,C57/BL6J,2711,12,1,5.92,Laura,1
Control,male,C57/BL6J,2713,12,1,5.31,Laura,1
CE,male,C57/BL6J,2714,12,1,3.92,Laura,1
Control,male,C57/BL6J,2715,12,1,3.87,Laura,1
Control,male,C57/BL6J,2716,12,1,4.12,Laura,1
CE,male,C57/BL6J,2717,12,1,5.69,Laura,1
CE,male,C57/BL6J,2721,12,1,19.26,Laura,2
Control,male,C57/BL6J,2722,12,1,7.19,Laura,2
CE,male,C57/BL6J,2723,12,1,4.52,Laura,2
Control,male,C57/BL6J,2724,12,1,8.04,Laura,2
CE,male,C57/BL6J,2725,12,1,6.21,Laura,2
Control,male,C57/BL6J,2726,12,1,6.67,Laura,2
CE,male,C57/BL6J,2727,12,1,7.66,Laura,2
Control,male,C57/BL6J,2728,12,1,7.36,Laura,2
Control,female,C57/BL6J,2816,12,1,5.62,Laura,3
CE,female,C57/BL6J,2817,12,1,8.64,Laura,3
CE,male,C57/BL6J,2818,12,1,13.66,Laura,3
CE,female,C57/BL6J,2819,12,1,5.13,Laura,3
Control,female,C57/BL6J,2820,12,1,8.04,Laura,3
CE,male,C57/BL6J,2821,12,1,19.47,Laura,3
CE,female,C57/BL6J,2822,12,1,3.69,Laura,3
CE,male,C57/BL6J,2823,12,1,NA,Laura,3
Control,male,C57/BL6J,2824,12,1,6.28,Laura,3
Control,female,C57/BL6J,2825,12,1,22.59,Laura,3
CE,female,C57/BL6J,2826,12,1,8.89,Laura,3
CE,female,C57/BL6J,2827,12,1,4.78,Laura,3
CE,male,C57/BL6J,2710,12,2,6.54,Laura,1
CE,male,C57/BL6J,2711,12,2,6.03,Laura,1
Control,male,C57/BL6J,2713,12,2,4.65,Laura,1
CE,male,C57/BL6J,2714,12,2,4.36,Laura,1
Control,male,C57/BL6J,2715,12,2,4.84,Laura,1
Control,male,C57/BL6J,2716,12,2,5.22,Laura,1
CE,male,C57/BL6J,2717,12,2,4.61,Laura,1
CE,male,C57/BL6J,2721,12,2,13.14,Laura,2
Control,male,C57/BL6J,2722,12,2,7.26,Laura,2
CE,male,C57/BL6J,2723,12,2,5.26,Laura,2
Control,male,C57/BL6J,2724,12,2,7.86,Laura,2
CE,male,C57/BL6J,2725,12,2,5.94,Laura,2
Control,male,C57/BL6J,2726,12,2,6.01,Laura,2
CE,male,C57/BL6J,2727,12,2,8.02,Laura,2
Control,male,C57/BL6J,2728,12,2,9.36,Laura,2
Control,female,C57/BL6J,2816,12,2,5.32,Laura,3
CE,female,C57/BL6J,2817,12,2,6.03,Laura,3
CE,male,C57/BL6J,2818,12,2,12.49,Laura,3
CE,female,C57/BL6J,2819,12,2,3.93,Laura,3
Control,female,C57/BL6J,2820,12,2,5.04,Laura,3
CE,male,C57/BL6J,2821,12,2,7.96,Laura,3
CE,female,C57/BL6J,2822,12,2,3.15,Laura,3
CE,male,C57/BL6J,2823,12,2,NA,Laura,3
Control,male,C57/BL6J,2824,12,2,7.39,Laura,3
Control,female,C57/BL6J,2825,12,2,8.57,Laura,3
CE,female,C57/BL6J,2826,12,2,8.7,Laura,3
CE,female,C57/BL6J,2827,12,2,4.2,Laura,3
CE,male,C57/BL6J,2710,6,1,10.22,Laura,1
CE,male,C57/BL6J,2711,6,1,8.94,Laura,1
Control,male,C57/BL6J,2713,6,1,5.17,Laura,1
CE,male,C57/BL6J,2714,6,1,5.36,Laura,1
Control,male,C57/BL6J,2715,6,1,4.91,Laura,1
Control,male,C57/BL6J,2716,6,1,6.23,Laura,1
CE,male,C57/BL6J,2717,6,1,6.62,Laura,1
CE,male,C57/BL6J,2721,6,1,13.36,Laura,2
Control,male,C57/BL6J,2722,6,1,14.46,Laura,2
CE,male,C57/BL6J,2723,6,1,8.04,Laura,2
Control,male,C57/BL6J,2724,6,1,12.58,Laura,2
CE,male,C57/BL6J,2725,6,1,8.94,Laura,2
Control,male,C57/BL6J,2726,6,1,9.08,Laura,2
CE,male,C57/BL6J,2727,6,1,7.31,Laura,2
Control,male,C57/BL6J,2728,6,1,9.12,Laura,2
Control,female,C57/BL6J,2816,6,1,6.94,Laura,3
CE,female,C57/BL6J,2817,6,1,4.74,Laura,3
CE,male,C57/BL6J,2818,6,1,28.21,Laura,3
CE,female,C57/BL6J,2819,6,1,5.57,Laura,3
Control,female,C57/BL6J,2820,6,1,8.9,Laura,3
CE,male,C57/BL6J,2821,6,1,8.3,Laura,3
CE,female,C57/BL6J,2822,6,1,5.11,Laura,3
CE,male,C57/BL6J,2823,6,1,12.28,Laura,3
Control,male,C57/BL6J,2824,6,1,13.38,Laura,3
Control,female,C57/BL6J,2825,6,1,7.92,Laura,3
CE,female,C57/BL6J,2826,6,1,7.79,Laura,3
CE,female,C57/BL6J,2827,6,1,5.3,Laura,3
CE,male,C57/BL6J,2710,6,2,11.05,Laura,1
CE,male,C57/BL6J,2711,6,2,8.96,Laura,1
Control,male,C57/BL6J,2713,6,2,6.26,Laura,1
CE,male,C57/BL6J,2714,6,2,5.45,Laura,1
Control,male,C57/BL6J,2715,6,2,4.58,Laura,1
Control,male,C57/BL6J,2716,6,2,6.59,Laura,1
CE,male,C57/BL6J,2717,6,2,8.49,Laura,1
CE,male,C57/BL6J,2721,6,2,12.97,Laura,2
Control,male,C57/BL6J,2722,6,2,9.02,Laura,2
CE,male,C57/BL6J,2723,6,2,7.86,Laura,2
Control,male,C57/BL6J,2724,6,2,11.87,Laura,2
CE,male,C57/BL6J,2725,6,2,8.36,Laura,2
Control,male,C57/BL6J,2726,6,2,6.87,Laura,2
CE,male,C57/BL6J,2727,6,2,8.36,Laura,2
Control,male,C57/BL6J,2728,6,2,10.42,Laura,2
Control,female,C57/BL6J,2816,6,2,8.5,Laura,3
CE,female,C57/BL6J,2817,6,2,6.24,Laura,3
CE,male,C57/BL6J,2818,6,2,4.39,Laura,3
CE,female,C57/BL6J,2819,6,2,5.56,Laura,3
Control,female,C57/BL6J,2820,6,2,7.52,Laura,3
CE,male,C57/BL6J,2821,6,2,10.45,Laura,3
CE,female,C57/BL6J,2822,6,2,6.46,Laura,3
CE,male,C57/BL6J,2823,6,2,5.24,Laura,3
Control,male,C57/BL6J,2824,6,2,20.6,Laura,3
Control,female,C57/BL6J,2825,6,2,10.46,Laura,3
CE,female,C57/BL6J,2826,6,2,4.71,Laura,3
CE,female,C57/BL6J,2827,6,2,6.48,Laura,3